Title	Authors	Pdf	Presentation	Volume_Name	Notes
Frontmatter		https://aclanthology.org/www.mt-archive.info/05/MTS-2007-WS-3-prelims.pdf			Using corpora for natural language generation (UCNLG+MT)
Automatic language translation generation help needs badly	Kevin Knight	https://aclanthology.org/www.mt-archive.info/MTS-2007-Knight-2.pdf			Using corpora for natural language generation (UCNLG+MT)
Automatic evaluation of generation and parsing for machine translation with automatically acquired transfer rules	Yvette Graham and Deirdre Hogan and van Genabith, Josef	https://aclanthology.org/www.mt-archive.info/MTS-2007-Graham.pdf			Using corpora for natural language generation (UCNLG+MT)
Generalizing syntactic collocates for creative language generation	David Hardcastle	https://aclanthology.org/www.mt-archive.info/MTS-2007-Hardcastle.pdf			Using corpora for natural language generation (UCNLG+MT)
Towards broad coverage surface realization with CCG	Michael White and Rajakrishnan Rajkumar and Scott Martin	https://aclanthology.org/www.mt-archive.info/MTS-2007-White.pdf			Using corpora for natural language generation (UCNLG+MT)
Method of selecting training sets to build compact and efficient language model	Keiji Yasuda and Hirofumi Yamamoto and Eiichiro Sumita	https://aclanthology.org/www.mt-archive.info/MTS-2007-Yasuda.pdf			Using corpora for natural language generation (UCNLG+MT)
The induction and evaluation of word order rules using corpora based on the two concepts of topological models	Bernd Bohnet	https://aclanthology.org/www.mt-archive.info/MTS-2007-Bohnet-1.pdf			Using corpora for natural language generation (UCNLG+MT)
A probabilistic approach to linguistic analysis in machine translation output evaluation	Olivier Gouirand	https://aclanthology.org/www.mt-archive.info/MTS-2007-Gouirand.pdf			Using corpora for natural language generation (UCNLG+MT)
Declarative syntactic processing of natural language using concurrent constraint programming and probabilistic dependency modeling	Irene Langkilde-Geary	https://aclanthology.org/www.mt-archive.info/MTS-2007-Langkilde-Geary.pdf			Using corpora for natural language generation (UCNLG+MT)
NLG is still relevant to MT	Nizar Habash	https://aclanthology.org/www.mt-archive.info/MTS-2007-Habash-2.pdf			Using corpora for natural language generation (UCNLG+MT)
Evaluation of NLG: some analogies and differences with machine translation and reference resolution	Andrei Popescu-Belis	https://aclanthology.org/www.mt-archive.info/MTS-2007-Popescu-Belis-1.pdf			Using corpora for natural language generation (UCNLG+MT)
Generation issues in machine translation	Gregor Thurmair	https://aclanthology.org/www.mt-archive.info/MTS-2007-Thurmair-1.pdf			Using corpora for natural language generation (UCNLG+MT)
One-way translation: an opportunity for NLG and MT research to interact	Sebastian Varges	https://aclanthology.org/www.mt-archive.info/MTS-2007-Varges.pdf			Using corpora for natural language generation (UCNLG+MT)
The attribute selection for generation of referring expressions challenge. [Introduction to Shared Task Evaluation Challenge.]	Anja Belz and Albert Gatt and Ehud Reiter and Jette Viethen	https://aclanthology.org/www.mt-archive.info/MTS-2007-WS-3-STEC.pdf			Using corpora for natural language generation (UCNLG+MT)
The attribute selection for GRE challenge: overview and evaluation results	Anja Belz and Albert Gatt	https://aclanthology.org/www.mt-archive.info/MTS-2007-Belz.pdf			Using corpora for natural language generation (UCNLG+MT)
IS-FBN, IS-FBS, IS-IAC: the adaptation of two classic algorithms for the generation of referring expresssions in order to produce expressions like humans do	Bernd Bohnet	https://aclanthology.org/www.mt-archive.info/MTS-2007-Bohnet-2.pdf			Using corpora for natural language generation (UCNLG+MT)
NIL: attribute selection for matching the task corpus using relative attribute groupings obtained from the test data	Raquel Hervás and Pablo Gervás	https://aclanthology.org/www.mt-archive.info/MTS-2007-Hervas.pdf			Using corpora for natural language generation (UCNLG+MT)
DIT: frequency based incremental attribute selection for GRE	Kelleher, J. D.	https://aclanthology.org/www.mt-archive.info/MTS-2007-Kelleher.pdf			Using corpora for natural language generation (UCNLG+MT)
Evaluating an open-domain GRE algorithm on closed domains system IDs: CAM-B, CAM-T, CAM-BU and CAM-TU	Advaith Siddharthan and Ann Copestake	https://aclanthology.org/www.mt-archive.info/MTS-2007-Siddharthan.pdf			Using corpora for natural language generation (UCNLG+MT)
Cost-based attribute selection for GRE (GRAPH-SC/GRAPH-FP)	Mariët Theune and Pascal Touset and Jette Viethen and Emiel Krahmer	https://aclanthology.org/www.mt-archive.info/MTS-2007-Theune.pdf			Using corpora for natural language generation (UCNLG+MT)
TITCH: attribute selection based on discrimination power and frequency	Philipp Spanger and Kurosawa Takahiro and Tokunaga Takenobu	https://aclanthology.org/www.mt-archive.info/MTS-2007-Spanger.pdf			Using corpora for natural language generation (UCNLG+MT)
Content determination in GRE: evaluating the evaluator	van Deemter, Kees and Albert Gatt	https://aclanthology.org/www.mt-archive.info/MTS-2007-vanDeemter.pdf			Using corpora for natural language generation (UCNLG+MT)
